Family,Genus,Infrageneric Level I,Infrageneric Level II,Infrageneric Level III,Infrageneric Level IV,Species,Common Name
,,,,,,chinensis var. robusta,
,,,,,,chinensis var. tchekiangensis,
,,,,,,diversifolia,Northern Japanese hemlock
,,,,,,dumosa,Himalayan hemlock
,,,,,,formosana,Taiwan hemlock
,,,,,,forrestii,Lijiang hemlock
,,,,,,heterophylla,Western hemlock
,,,,,,mertensiana,Mountain hemlock
,,,,,,sieboldii,Southern Japanese hemlock
,,,,,,ulleungensis,Ullung hemlock
