species-name,common-name,family-name,genus-name,infrageneric-level-I,infrageneric-level-II,infrageneric-level-III
armandii,Chinese white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
armandii var. mastersiana,Masters white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
ayacahuite,Mexican white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
bhutanica,Bhutan pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
cembra,Swiss stone pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
cernua,Laotian white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
chiapensis,Chiapas white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
dalatensis,Vietnamese white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
fenzeliana,Hainan white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
fenzeliana var. dabeshanensis,Small-needle Hainan white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
flexilis,Limber pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
× hakkodensis,Hakkodo pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
koraiensis,Korean pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
kwangtungensis,Hunan white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
lambertiania,Sugar pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
monticola,Western white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
morrisonicola,Taiwan white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
parviflora,Japanese white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
parviflora var. pentaphylla,Winged Japanese white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
peuce,Macedonian pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
pumila,Siberian dwarf pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
sibirica,Siberian pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
strobiformis,Chihuahua white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
strobiformis ssp. veitchii,Bigcone white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
strobus,Eastern white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
stylesii,Southwestern white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
wallichiana,Himalayan white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
wangii,Guangdong white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
